"Energy (MeV/amu)","Particle = photon_Depth = 0","Particle = electron_Depth = 0","Particle = positron_Depth = 0","Particle = mu-_Depth = 0","Particle = mu+_Depth = 0","Particle = pi-_Depth = 0","Particle = pi+_Depth = 0","Particle = neutron_Depth = 0","Particle = proton_Depth = 0","Particle = deuteron_Depth = 0","Particle = triton_Depth = 0","Particle = helion_Depth = 0","Particle = alpha_Depth = 0","Particle = Li6_Depth = 0","Particle = Li7_Depth = 0","Particle = Be8_Depth = 0","Particle = Be9_Depth = 0","Particle = B10_Depth = 0","Particle = B11_Depth = 0","Particle = C12_Depth = 0","Particle = C13_Depth = 0","Particle = N14_Depth = 0","Particle = N15_Depth = 0","Particle = O16_Depth = 0","Particle = O17_Depth = 0","Particle = F18_Depth = 0","Particle = F19_Depth = 0","Particle = Ne20_Depth = 0","Particle = Ne21_Depth = 0","Particle = Ne22_Depth = 0"
0.7616098,23441.04,608.1163,43.8245,2.51453e-7,0.0001647593,0.000131492,0.0001644351,14063.94,2870750,1.973075,0.4577193,0.1600465,1.737747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.041454,16651.27,491.9614,40.48596,3.078456e-7,0.0002012333,0.0001605976,0.0002008364,13065.93,1046593,2.24324,0.5032001,0.1716454,1.674754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.410684,12328.59,379.6684,34.94785,3.737633e-7,0.0002436621,0.0001944523,0.0002431802,10308.65,389567.5,2.490054,0.5337213,0.1810861,1.51736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8996,9384.597,276.2248,27.79503,4.559965e-7,0.0002962726,0.0002364268,0.0002956848,7296.431,154728.3,2.721647,0.5490797,0.1858174,1.258749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.545671,7223.609,185.6881,19.89425,5.584076e-7,0.0003613823,0.0002883661,0.0003606625,5118.322,53435.04,2.910565,0.543305,0.1833973,0.9289695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.398159,5477.192,111.4912,12.30635,6.860397e-7,0.000441798,0.0003525019,0.0004409136,3544.465,22949.91,3.026335,0.5142326,0.1699049,0.5857833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.521955,3915.53,56.6031,6.134328,8.449326e-7,0.0005408655,0.0004314916,0.0005397764,2393.445,11102.05,3.047149,0.4668722,0.1478768,0.3174136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.000909,2441.463,21.89502,2.18108,0.000001042441,0.0006622826,0.0005282634,0.0006609389,1640.228,6658.543,2.974909,0.4134643,0.12166,0.162504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.945456,1081.027,4.708687,0.486041,0.000001287337,0.0008101183,0.0006460288,0.0008084588,1061.77,4508.707,2.843757,0.3664199,0.09707302,0.1002271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,166.2911,0.39571,0.1292915,0.00000158973,0.0009884388,0.0007879755,0.0009863894,586.7077,3049.97,2.701552,0.3290517,0.07832757,0.08085912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.79048,62.29422,0.1097879,0.1143509,0.000001735773,0.001072803,0.0008550881,0.001070566,475.4384,2645.262,2.645825,0.3146397,0.07232848,0.07665596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.23618,6.429884,0.05084011,0.1084606,0.000001894629,0.001163279,0.0009270288,0.001160836,382.8618,2376.111,2.591438,0.2995302,0.06710708,0.07260941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.85678,0.1946503,0.04244175,0.103529,0.000002067287,0.001260057,0.00100394,0.001257392,307.4054,2089.231,2.535063,0.2828522,0.06232396,0.06811056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.67132,0.1564799,0.03879439,0.098228,0.000002254458,0.001363096,0.001085779,0.001360189,247.289,1972.444,2.471901,0.2640284,0.05766177,0.06294647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.70472,0.1256934,0.03522465,0.09243349,0.000002457091,0.001472398,0.001172532,0.00146923,200.3051,1841.682,2.396251,0.2428109,0.05286983,0.05711604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.98246,0.1020493,0.03184241,0.08604554,0.000002675776,0.001587689,0.001263967,0.001584238,164.6255,1721.547,2.302767,0.219364,0.04781542,0.0507505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.53477,0.08504031,0.0285967,0.07893936,0.00000291113,0.00170862,0.00135979,0.001704865,137.7661,1612.681,2.187271,0.1941791,0.04247995,0.04405146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.39553,0.07376048,0.02546737,0.07098084,0.000003163569,0.001834617,0.001459524,0.001830536,118.7941,1490.787,2.047468,0.1680152,0.03694674,0.03726015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.60152,0.06712941,0.02245015,0.06202667,0.000003433071,0.001964776,0.00156243,0.001960348,104.8901,1394.702,1.883496,0.141822,0.03137556,0.03074765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.19499,0.06399639,0.01954067,0.05193104,0.000003719296,0.002097943,0.001667567,0.002093144,94.11867,1288.82,1.697988,0.11668,0.02597742,0.02457961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
